record_id,muni_name,hybrid,veh_type,fuel,year,make_name,q1_2008,q2_2008,q3_2008,q4_2008,mi_per_day,mpg_adj,gal_perday,co2eqv_day,curbwt,msrp,mpg2008,veh_zip
15773180,BOSTON,0,Car,Gasoline,1998,Honda,1,0,0,0,710.36,22.88,31.05,281.18,2300,13000,28,02127
15026926,BOSTON,0,Car,Gasoline,1991,Honda,0,1,1,1,6.13,15.99,0.38,3.47,2900,17000,23,02118
5109091,BOSTON,0,SUV,Gasoline,2003,Mazda,0,1,1,1,35.71,16.83,2.12,19.21,3300,24000,19,02121
6264196,BOSTON,0,Car,Gasoline,2006,Bmw,0,1,1,1,31.29,19.77,1.58,14.34,3600,33000,21,02118
11162045,BOSTON,0,Car,Gasoline,2009,Toyota,0,0,1,1,33.65,23.00,1.46,13.25,3100,19000,23,02127
551023,BOSTON,0,SUV,Gasoline,2001,Honda,0,1,1,0,34.71,18.23,1.90,17.24,3100,19000,21,02115
11146077,BOSTON,0,SUV,Gasoline,2008,Bmw,0,0,0,1,16.23,15.68,1.03,9.37,5300,55000,16,02116
3590257,BOSTON,0,Car,Gasoline,1995,Jeep,0,0,0,1,50.83,11.30,4.50,40.72,3100,16000,15,02116
3215026,BOSTON,0,Car,Gasoline,1999,Toyota,0,0,1,1,9.21,18.79,0.49,4.44,3100,20000,23,02124
3040045,BOSTON,0,Car,Gasoline,2007,Toyota,0,0,1,0,19.81,24.50,0.81,7.32,3300,22000,25,02127
2908551,BOSTON,0,Car,Gasoline,2000,Toyota,1,1,0,0,11.12,24.67,0.45,4.08,2400,14000,29,02128
6410162,BOSTON,0,SUV,Gasoline,2005,Honda,0,0,0,1,26,19.37,1.34,12.16,3500,21000,21,02119
9922527,BOSTON,0,SUV,Gasoline,2008,Hyundai,0,1,1,1,80.55,18.62,4.33,39.18,3500,24000,19,02128
13947927,BOSTON,0,Car,Gasoline,2004,Toyota,0,0,1,1,28.88,21.69,1.33,12.06,3100,21000,24,02124
8318751,BOSTON,0,Car,Gasoline,2001,Saturn,1,1,1,0,18.48,24.31,0.76,6.89,2400,12000,28,02125
15029980,BOSTON,0,Car,Gasoline,2008,Mercedes,0,1,1,1,0,19.60,0.00,0.00,3600,35000,20,02115
8034671,BOSTON,0,Car,Gasoline,1994,Honda,0,0,0,1,0,17.02,0.00,0.00,2800,20000,24,02121
13025429,BOSTON,0,Car,Gasoline,2003,Honda,1,1,1,0,33.05,22.60,1.46,13.25,3100,20000,25,02119
8922036,BOSTON,0,Car,Gasoline,1998,Hyundai,0,1,1,1,19.14,19.61,0.98,8.84,2500,12000,24,02127
3304578,BOSTON,0,Truck,Gasoline,2005,Ford,1,1,1,1,15.87,13.18,1.20,10.91,4900,31000,14,02127
9167118,BOSTON,0,,Gasoline,2004,Chevrolet,1,1,0,0,19.94,12.91,1.54,13.99,5700,28000,14,02125
13316441,BOSTON,0,SUV,Gasoline,2005,Hyundai,1,1,1,0,19.01,17.88,1.06,9.63,3500,22000,19,02118
247184,BOSTON,0,Car,Gasoline,2001,Volvo,0,0,0,1,14.29,20.42,0.70,6.34,2800,26000,24,02114
13036365,BOSTON,0,Car,Gasoline,2004,Volkswagen,0,0,1,1,7.91,19.89,0.40,3.60,3400,25000,22,02118
10983481,BOSTON,0,Car,Gasoline,2000,Infiniti,0,1,1,0,21.02,17.02,1.24,11.19,3400,31000,20,02121
4268565,BOSTON,0,SUV,Gasoline,1999,Kia,0,1,1,1,15.53,15.52,1.00,9.06,3400,18000,19,02124
8093620,BOSTON,0,Car,Gasoline,2003,Honda,1,1,1,0,37.54,19.89,1.89,17.09,3400,26000,22,02124
9848010,BOSTON,0,SUV,Gasoline,2007,Kia,0,0,1,1,42.99,18.25,2.36,21.33,3500,23000,19,02127
7865910,BOSTON,0,Van,Flexfuel,2000,Dodge,0,1,1,1,20.59,15.01,1.37,12.42,3900,25000,18,02128
14763364,BOSTON,0,Van,Gasoline,2002,Toyota,0,0,1,0,23.97,16.83,1.42,12.90,3900,27000,19,02124
9323685,BOSTON,0,SUV,Gasoline,2007,Volvo,1,1,0,0,35.83,16.66,2.15,19.47,4400,37000,17,02128
11767077,BOSTON,0,Car,Gasoline,2006,Chevrolet,1,0,0,0,12.84,20.17,0.64,5.76,3500,24000,21,02114
4309146,BOSTON,0,Car,Gasoline,1994,Ford,0,0,1,1,0,13.03,0.00,0.00,3800,21000,18,02127
322306,BOSTON,0,SUV,Gasoline,2006,Jeep,0,0,0,1,10.92,16.00,0.68,6.18,3900,23000,17,02215
11164198,BOSTON,0,Car,Gasoline,1995,Mercury,0,0,0,1,15.17,13.57,1.12,10.13,3800,23000,18,02125
8584205,BOSTON,0,Car,Gasoline,1998,Chevrolet,0,0,1,0,4.16,18.79,0.22,2.01,2600,15000,23,02118
14229015,BOSTON,0,Car,Gasoline,2003,Toyota,1,1,1,1,32.38,25.31,1.28,11.59,2700,16000,28,02125
10179533,BOSTON,0,SUV,Gasoline,2005,Saturn,0,0,0,1,33.52,19.37,1.73,15.67,3300,18000,21,02121
10737296,BOSTON,0,Car,Gasoline,1996,Ford,0,0,1,1,18.92,16.15,1.17,10.61,3500,20000,21,02122
1444057,BOSTON,0,Car,Gasoline,1993,Toyota,0,0,1,1,21.67,18.09,1.20,10.85,2300,12000,25,02128
387297,BOSTON,0,Car,Gasoline,2000,Toyota,1,1,0,0,33.1,22.97,1.44,13.05,2400,17000,27,02115
1033516,BOSTON,0,Car,Gasoline,2007,Toyota,1,1,0,0,206.67,24.50,8.44,76.39,3300,22000,25,02128
5112087,BOSTON,0,Car,Gasoline,2000,Nissan,0,0,0,1,0,17.16,0.00,0.00,3200,24000,21,02127
15375932,BOSTON,0,SUV,Gasoline,2007,Jeep,0,0,1,0,32.99,15.68,2.10,19.05,4800,31000,16,02124
8971273,BOSTON,0,SUV,Gasoline,2002,Ford,0,0,1,1,108.76,13.02,8.35,75.64,4300,31000,15,02128
2400017,BOSTON,0,Car,Gasoline,2003,Mercury,0,0,0,1,15.58,18.60,0.84,7.59,3300,24000,21,02128
10708139,BOSTON,0,Car,Gasoline,1993,Toyota,0,0,1,1,18.65,18.09,1.03,9.33,2300,12000,25,02124
1537200,BOSTON,0,Car,Gasoline,2003,Bmw,0,0,0,1,0,18.98,0.00,0.00,3200,28000,21,02116
14563400,BOSTON,0,SUV,Gasoline,2000,Land Rover,1,1,1,1,14.45,11.91,1.21,10.99,4600,35000,14,02116
13277491,BOSTON,0,Car,Gasoline,2004,Acura,0,0,0,1,0,18.60,0.00,0.00,3600,34000,21,02122
6445768,BOSTON,0,Car,Gasoline,2005,Nissan,1,1,1,0,21.19,22.59,0.94,8.50,3000,19000,24,02116
14631927,BOSTON,0,Van,Gasoline,2000,Chevrolet,1,1,1,0,0,17.02,0.00,0.00,3800,30000,20,02122
